99606,Iliamna,1,59.85132800,-154.55514200
99741,Galena,1,64.73614600,-156.87300900
99692,"Dutch harbor",1,53.88580800,-166.53832400
99652,"Big lake",1,61.52976800,-149.98091600
99769,Savoonga,1,63.67952400,-170.48110300
99694,Houston,1,61.62410100,-149.78526400
99503,Anchorage,1,62.04395100,-158.17566700
99565,"Chignik lagoon",1,56.30458200,-158.49811900
99628,Manokotak,1,58.95743200,-159.21208700
99647,"Pedro bay",1,59.87854300,-154.07208800
99763,Noorvik,1,66.82791200,-161.02921700
99583,"False pass",1,54.89009700,-163.41064400
99919,"Thorne bay",1,55.64559400,-132.49682000
99613,"King salmon",1,59.01026600,-155.90178000
99670,"South naknek",1,58.66004100,-156.98752000
99540,Indian,1,60.99023600,-149.41982700
99714,Salcha,1,64.38453100,-146.55371500
99572,"Cooper landing",1,60.52989300,-149.95259500
99776,Tanacross,1,63.39469700,-143.40272300
99679,Tuluksak,1,61.10427300,-160.93757200
99662,"Scammon bay",1,61.79182100,-165.96154600
99626,"Lower kalskag",1,61.51696800,-160.36465700
99657,"Russian mission",1,61.72828400,-161.66935500
99918,"Coffman cove",1,55.91687300,-132.69550300
36550,"Little river",2,31.24943000,-87.73043600
36509,"Bayou la batre",2,30.39302000,-88.27017800
35464,Gainesville,2,32.80613000,-88.15459000
35203,Birmingham,2,33.51860100,-86.80980700
36850,"Camp hill",2,32.78323200,-85.65856600
35480,Ralph,2,33.07803800,-87.81922600
35808,Huntsville,2,34.63302700,-86.65905700
36043,"Hope hull",2,32.20115300,-86.42074700
35773,Toney,2,34.89106900,-86.70794100
36559,Montrose,2,30.56779400,-87.90865300
35178,Vincent,2,33.41976900,-86.39843500
35986,Rainsville,2,34.50033600,-85.83588900
35481,Reform,2,33.39462400,-88.03741700
35005,Adamsville,2,33.59595000,-87.00064900
35077,Hanceville,2,34.02116500,-86.83266800
36111,Montgomery,2,32.33657900,-86.27132400
35754,"Laceys spring",2,34.52549200,-86.60446700
36619,Mobile,2,30.59608700,-88.19663700
35801,Huntsville,2,34.72526900,-86.56086600
35805,Huntsville,2,34.70936800,-86.62029000
36553,"Mc intosh",2,31.24330100,-88.06781300
35610,Anderson,2,34.95445600,-87.24596100
36268,Munford,2,33.49479800,-85.92945200
36343,Gordon,2,31.06070400,-85.12076500
35585,"Spruce pine",2,34.42083500,-87.83248300
36017,Clio,2,31.67944300,-85.55772000
